Entity Type,Medical Device,Regulatory Notes,Context_Multiplier,Estimate Repair Price (USD),Adjusted Estimate Repair Price (USD),Final Estimated Repair Price (USD),Estimate Purchase Price (USD),Annual Maintenance Cost (USD),"Total Cost of Ownership (5 Years, USD)"
Wilderness medicine course,Ultrasound,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1558.658333,1225,9750,827.36,17000
Wilderness medicine course,ECG/EKG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1558.658333,450,3225,236.19,5500
Wilderness medicine course,Defibrillator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1558.658333,850,4175,342.2,8000
Wilderness medicine course,Patient monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1558.658333,660,4800,394.77,8500
Wilderness medicine course,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1558.658333,1375,7000,660.1,13750
Wilderness medicine course,Nebulizer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1558.658333,1525,10250,780.52,18000
Wilderness medicine course,Suction,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1558.658333,550,3975,406.99,7500
Wilderness medicine course,Pulse oximeter,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1558.658333,1500,10250,766.38,17750
Disaster medicine course,Endoscope (rigid/flexible),HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1663.377016,2450,23500,1511.23,37250
Disaster medicine course,Video tower,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1663.377016,1725,12500,824.58,21000
Disaster medicine course,Suction,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1663.377016,530,3750,356.25,6750
Disaster medicine course,Microscope,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1663.377016,490,3450,244.21,6000
Disaster medicine course,Audiometer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1663.377016,610,4250,268.73,7000
Disaster medicine course,Tympanometer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1663.377016,590,3925,259.15,6750
Geriatric care certificate,Portable X-ray,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1364.105805,3600,36500,3774.41,64500
Geriatric care certificate,Ultrasound,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1364.105805,1175,9000,752.36,15750
Geriatric care certificate,ECG/EKG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1364.105805,450,3300,263.6,5750
Geriatric care certificate,Defibrillator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1364.105805,830,3975,310.58,7500
Geriatric care certificate,Patient monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1364.105805,650,4400,319.09,7500
Geriatric care certificate,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1364.105805,1375,7000,619.42,13500
Geriatric care certificate,Nebulizer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1364.105805,1350,9250,710.2,16250
Geriatric care certificate,Suction,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1364.105805,560,3900,407.85,7250
Geriatric care certificate,Pulse oximeter,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1364.105805,1350,9250,612.81,15750
Pediatric care certificate,Portable X-ray,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,3475,36000,3270.7,61000
Pediatric care certificate,Ultrasound,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,1225,9250,807.92,16250
Pediatric care certificate,ECG/EKG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,440,3075,239.52,5250
Pediatric care certificate,Defibrillator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,870,4525,391.05,8750
Pediatric care certificate,Patient monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,650,4675,386.54,8250
Pediatric care certificate,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,1425,7000,580.18,13500
Pediatric care certificate,Nebulizer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,1525,10500,782.48,18250
Pediatric care certificate,Suction,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,550,4025,402.66,7500
Pediatric care certificate,Pulse oximeter,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,1475,10000,745.14,17500
Pediatric care certificate,Portable refrigerator/freezer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,680,4675,245.84,7500
Pediatric care certificate,Vaccine cold-chain monitors,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,1450,10250,798.35,17750
Pediatric care certificate,Microscope,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,510,3625,243.75,6000
Pediatric care certificate,Rapid test readers,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,1425,10250,707.49,17250
Pediatric care certificate,PCR,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,1100,7500,523.84,12750
Pediatric care certificate,Biosafety cabinet,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,1625,11000,819.52,19250
Pediatric care certificate,Portable oxygen concentrator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,1475,10250,492.26,16500
Pediatric care certificate,BP monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,1425,10250,882.01,18250
Pediatric care certificate,Glucose meter,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,1475,9750,620.34,16500
Pediatric care certificate,CPAP/BiPAP,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,1750,10000,650.36,17750
Pediatric care certificate,Hospital bed,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,1475,10250,715.79,17500
Pediatric care certificate,Suction device,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1466.319892,540,3900,384.84,7250
Perioperative nursing course,Anesthesia machine,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,1200,1500,2725,18250,1375.5,32000
Perioperative nursing course,Ventilator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,1200,1500,2325,14250,1129.52,25750
Perioperative nursing course,Operating table,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,1200,1500,1700,8750,766.51,16750
Perioperative nursing course,Surgical lights,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,1200,1500,1100,5250,507.8,10500
Perioperative nursing course,Electrosurgical unit (ESU),HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,1200,1500,1150,5750,538.1,11250
Perioperative nursing course,Patient monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,1200,1500,830,5500,457.75,9750
Perioperative nursing course,Infusion pumps,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,1200,1500,1500,10750,747.47,18250
Perioperative nursing course,Suction system,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,1200,1500,690,4900,467.67,9000
Perioperative nursing course,Endoscopy tower,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,1200,1500,3050,30000,1906.85,47250
Perioperative nursing course,Insufflator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,1200,1500,1100,10500,664.77,16500
Perioperative nursing course,Ultrasonic scalpel,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,1200,1500,1500,10500,750.36,18000
Perioperative nursing course,Harmonic device,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,1200,1500,1550,10750,811.1,18750
Perioperative nursing course,Tourniquet system,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,1200,1500,1525,10250,720.23,17750
Perioperative nursing course,Sterile processing trays,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,1200,1500,1475,10000,643.89,17000
Informatics nursing course,General diagnostic set,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1782.977941,1750,12500,847.23,21000
Informatics nursing course,Examination table,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1782.977941,1750,12000,791.11,20250
Informatics nursing course,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1782.977941,1400,7000,658.59,13750
Informatics nursing course,Vital signs monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1782.977941,1800,13000,1027.53,22750
Informatics nursing course,ECG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1782.977941,450,3125,231.07,5500
Health coaching certificate,Portable refrigerator/freezer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,690,4675,255.67,7750
Health coaching certificate,Vaccine cold-chain monitors,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,1350,10000,876.47,17750
Health coaching certificate,Microscope,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,500,3325,253.64,5750
Health coaching certificate,Rapid test readers,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,1325,9250,624.6,15750
Health coaching certificate,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,1350,6500,615.36,13000
Health coaching certificate,PCR,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,1100,7750,507.67,13000
Health coaching certificate,Biosafety cabinet,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,1650,11250,771.47,19250
Health coaching certificate,Portable oxygen concentrator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,1350,9500,458.96,15250
Health coaching certificate,Nebulizer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,1325,9500,707.74,16250
Health coaching certificate,BP monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,1300,9500,789.24,16750
Health coaching certificate,Pulse oximeter,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,1375,9750,673.09,16500
Health coaching certificate,Glucose meter,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,1300,9000,572.44,15000
Health coaching certificate,CPAP/BiPAP,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,1800,11000,793.04,19500
Health coaching certificate,Hospital bed,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,1375,10000,679.97,16750
Health coaching certificate,Suction device,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1357.468297,570,4100,443.91,7750
Medical school – Additional subtype,Portable X-ray,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1936.90625,3475,33750,3187.03,58500
Medical school – Additional subtype,Ultrasound point-of-care,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1936.90625,1175,9500,780.51,16250
Medical school – Additional subtype,Ventilator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1936.90625,1775,11000,965.43,20250
Medical school – Additional subtype,Defibrillator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1936.90625,860,4250,365.83,8250
Medical school – Additional subtype,ECG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1936.90625,440,3050,223.49,5250
Medical school – Additional subtype,Infusion pump,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1936.90625,1875,13500,908.99,22750
Medical school – Additional subtype,Capnograph,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1936.90625,1950,14000,1049.05,24000
Medical school – Additional subtype,Video laryngoscope,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1936.90625,1875,13250,982.67,22750
Medical school – Additional subtype,Suction,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1936.90625,550,4025,442.47,7500
Medical school – Additional subtype,Crash cart,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1936.90625,1950,14000,886.45,23250
Emergency department,Portable X-ray,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,3900,38500,3597.06,66000
Emergency department,Ultrasound point-of-care,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1375,11250,971.74,19500
Emergency department,Ventilator,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2000,11500,858.16,20750
Emergency department,Defibrillator,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,970,5000,399.03,9500
Emergency department,ECG/EKG,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,490,3425,246.77,6000
Emergency department,Infusion pump,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2375,16000,1231.17,28000
Emergency department,Syringe pump,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2500,18000,1194.88,30250
Emergency department,Patient monitor,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,730,5000,384.55,8750
Emergency department,Capnograph,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2400,16250,1043.15,27500
Emergency department,Video laryngoscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2450,17500,1294.17,30000
Emergency department,Suction device,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,620,4125,406.32,7750
Emergency department,Crash cart,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2375,16250,1119.06,27750
Emergency department,Glucose meter,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2475,17750,1236.61,30000
Emergency department,Nebulizer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2400,16750,1135.27,28500
Emergency department,Rapid blood analyzer (i-STAT),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2500,18250,1220.5,30500
Emergency department,Portable ventilator,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2025,12000,879.04,21500
Emergency department,Ultrasound,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1350,10750,821.76,18250
Emergency department,Autoclave,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1525,7750,708.4,15000
Emergency department,Suction,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,600,4225,381.85,7750
Emergency department,Pulse oximeter,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2425,17250,1120.7,29000
Emergency department,Endoscope (rigid/flexible),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2825,27000,1829.64,43250
Emergency department,Video tower,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2400,16500,1177.75,28500
Emergency department,Microscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,560,4075,300.84,7000
Emergency department,Audiometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,670,4600,339.57,8000
Emergency department,Tympanometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,680,4950,329.25,8250
Observation unit,Portable X-ray,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,3900,39750,4064.52,70000
